icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
4d2326,REU9903,Malta,1753811175,1753811175,7.5094,49.8792,10972.8,False,222.25,263.22,0.0,,11300.46,1000,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
4d2304,RYR71ZH,Malta,1753811174,1753811175,12.3317,47.0839,10972.8,False,229.42,230.28,0.0,,11338.56,5221,False,0,EGKK,EHAM,London Gatwick,Amsterdam Schiphol,London,Amsterdam,51.1481,-0.1903,52.3105,4.7683,Ryanair,high,565.3256013998657,0
4d2301,RYR42PN,Malta,1753811175,1753811175,8.9405,47.527,7132.32,False,201.59,249.07,9.1,,7376.16,6662,False,0,EGKK,LSZH,London Gatwick,Zurich Airport,London,Zurich,51.1481,-0.1903,47.4647,8.5492,Ryanair,high,1052.7242329665498,0
3c56ef,EWG64Y,Germany,1753811175,1753811175,13.3405,52.2809,1828.8,False,117.12,229.45,16.91,,1905.0,,False,0,EKCH,EDDM,Copenhagen Airport,Munich Airport,Copenhagen,Munich,55.6181,12.6561,48.3538,11.7861,Unknown,medium,812.0995051539496,0
3c56ed,EWG2AN,Germany,1753811174,1753811175,6.9395,50.7822,3291.84,False,158.92,282.15,5.2,,3429.0,4120,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
4d233f,EWG5PW,Malta,1753811175,1753811175,8.9196,50.4913,10149.84,False,206.58,336.05,-10.08,,10462.26,1000,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
4cacbd,SAS42Y,Ireland,1753811174,1753811175,8.9393,52.8647,10058.4,False,239.39,44.13,-0.33,,10218.42,3744,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
3985a4,AFR89CW,France,1753811175,1753811175,8.7919,45.0928,10561.32,False,245.78,175.08,-1.95,,10980.42,1000,False,0,LFPO,EGGW,Paris Orly,London Luton,Paris,London,48.7233,2.3794,51.8747,-0.3683,Air France,high,464.096525409585,0
4d2390,FHY228,Malta,1753811175,1753811175,14.2616,49.9485,4434.84,False,192.69,144.78,12.03,,4579.62,1427,False,0,EDDM,LOWW,Munich Airport,Vienna Airport,Munich,Vienna,48.3538,11.7861,48.1103,16.5697,Unknown,medium,531.6670719805866,0
3c56f0,EWG3CV,Germany,1753811175,1753811175,10.5394,52.5618,8923.02,False,223.34,165.87,8.13,,9098.28,7625,False,0,EDDF,EKCH,Frankfurt Airport,Copenhagen Airport,Frankfurt,Copenhagen,50.0379,8.5622,55.6181,12.6561,Unknown,medium,768.2182355354822,0
3ff47a,DMYND,Germany,1753811074,1753811074,11.2336,48.7109,388.62,False,28.81,271.02,-0.33,,441.96,7000,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,1
