icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
407cb0,RUK13DD,United Kingdom,1753810463,1753810463,10.2891,48.3323,11277.6,False,247.02,124.65,0.33,,11605.26,4715.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
4010ee,EZY16UB,United Kingdom,1753810462,1753810463,10.951,46.2445,11269.98,False,253.73,131.22,0.0,,11643.36,2705.0,False,0,EGGW,EKCH,London Luton,Copenhagen Airport,London,Copenhagen,51.8747,-0.3683,55.6181,12.6561,easyJet,high,1504.236513163179,0
4010dd,EFW73V,United Kingdom,1753810462,1753810463,12.3288,45.959,10668.0,False,260.82,134.76,0.33,,10988.04,2727.0,False,0,EDDM,LIMC,Munich Airport,Milan Malpensa,Munich,Milan,48.3538,11.7861,45.6306,8.7281,Unknown,medium,454.5200241782972,0
4b9e07,TKJ5YJ,Turkey,1753810462,1753810462,13.6678,47.2788,10050.78,False,264.25,123.57,0.65,,10317.48,4705.0,False,0,EDDM,LOWW,Munich Airport,Vienna Airport,Munich,Vienna,48.3538,11.7861,48.1103,16.5697,Unknown,medium,531.6670719805866,0
407f0e,RUK6FD,United Kingdom,1753810462,1753810462,12.533,47.2184,11277.6,False,250.59,141.08,0.0,,11597.64,2233.0,False,0,EDDM,LSZH,Munich Airport,Zurich Airport,Munich,Zurich,48.3538,11.7861,47.4647,8.5492,Unknown,medium,372.6033810834516,0
407f79,EZY18TZ,United Kingdom,1753810463,1753810463,8.3365,47.2964,11590.02,False,214.11,290.83,0.0,,11978.64,7513.0,False,0,EGKK,EGLL,London Gatwick,London Heathrow,London,London,51.1481,-0.1903,51.47,-0.4543,easyJet,high,46.21062248888231,0
407f65,EZY6591,United Kingdom,1753810463,1753810463,8.791,48.6233,10668.0,False,242.73,129.32,0.0,,11010.9,2716.0,False,0,EGKK,EGKK,London Gatwick,London Gatwick,London,London,51.1481,-0.1903,51.1481,-0.1903,easyJet,high,0.0,0
440732,EJU56TJ,Austria,1753810463,1753810463,8.4684,45.6656,3002.28,False,129.18,234.73,15.61,,3131.82,1000.0,False,0,EGGW,EDDM,London Luton,Munich Airport,London,Munich,51.8747,-0.3683,48.3538,11.7861,easyJet Europe,high,1404.6047901778527,0
48c2b1,RYR4195,Poland,1753810463,1753810463,13.0739,47.2255,10980.42,False,234.4,232.4,0.0,,11300.46,2202.0,False,0,EGKK,LFPG,London Gatwick,Paris Charles de Gaulle,London,Paris,51.1481,-0.1903,49.0097,2.5479,Ryanair,high,385.6430397528261,0
48c2a7,RYR42HH,Poland,1753810462,1753810463,12.5747,46.732,9753.6,False,201.79,258.23,0.0,,10073.64,2216.0,False,0,EIDW,EGGW,Dublin Airport,London Luton,Dublin,London,53.4213,-6.27,51.8747,-0.3683,Ryanair,high,677.2094849147124,0
